,SECONDARY
22928,Y
22936,Y
22939,Y
22941,Y
22942,Y
22943,Y
22944,Y
22945,Y
22948,Y
22962,Y
22965,Y
23042,Y
23044,Y
23049,Y
23051,Y
23066,Y
23090,Y
23097,Y
23107,Y
23108,Y
23118,Y
23130,Y
23132,Y
23133,Y
23136,Y
23137,Y
23139,Y
23145,Y
23152,Y
23154,Y
23155,Y
23157,Y
23158,Y
23165,Y
23166,Y
23259,Y
23267,Y
23268,Y
23288,Y
23299,Y
23301,Y
23320,Y
23323,Y
23326,Y
23349,Y
23369,Y
23387,Y
23409,Y
23418,Y
23434,Y
23435,Y
23489,Y
23490,Y
23497,Y
23501,Y
23506,Y
23507,Y
23508,Y
23509,Y
23513,Y
23518,Y
23519,Y
23521,Y
23523,Y
23529,Y
23532,Y
23533,Y
23534,Y
23539,Y
23540,Y
23541,Y
23542,Y
23543,Y
23545,Y
23552,Y
23553,Y
23554,Y
23555,Y
23557,Y
23563,Y
23594,Y
23629,Y
23630,Y
23633,Y
23634,Y
23635,Y
23640,Y
23641,Y
23643,Y
23700,Y
23703,Y
23710,Y
23713,Y
23716,Y
23720,Y
23721,Y
23722,Y
23727,Y
23728,Y
23731,Y
23732,Y
23734,Y
23735,Y
23736,Y
23737,Y
23739,Y
23741,Y
23742,Y
23745,Y
23755,Y
23759,Y
23760,Y
23769,Y
23869,Y
23991,Y
24004,Y
24005,Y
24006,Y
24007,Y
24008,Y
24012,Y
24015,Y
24029,Y
24062,Y
24063,Y
24223,Y
24264,Y
24272,Y
24283,Y
24322,Y
24330,Y
24334,Y
24335,Y
24398,Y
24399,Y
24400,Y
24401,Y
24403,Y
24407,Y
24408,Y
24409,Y
24412,Y
24416,Y
24417,Y
24418,Y
24419,Y
24421,Y
24422,Y
24423,Y
24424,Y
24427,Y
24430,Y
24431,Y
24432,Y
24433,Y
24436,Y
24438,Y
24440,Y
24444,Y
24445,Y
24450,Y
24452,Y
24453,Y
24456,Y
24457,Y
24458,Y
24462,Y
24468,Y
24472,Y
24475,Y
24476,Y
24477,Y
24480,Y
24481,Y
24482,Y
24483,Y
24484,Y
24485,Y
24487,Y
24490,Y
24491,Y
24492,Y
24493,Y
24494,Y
24495,Y
24497,Y
24500,Y
24501,Y
24502,Y
24514,Y
24570,Y
24587,Y
24668,Y
24669,Y
24670,Y
24673,Y
24679,Y
24689,Y
24691,Y
24694,Y
24695,Y
24698,Y
24710,Y
24713,Y
24718,Y
24730,Y
24761,Y
24762,Y
24763,Y
24767,Y
24771,Y
24772,Y
24773,Y
24774,Y
24775,Y
24778,Y
24785,Y
24786,Y
24790,Y
24792,Y
24793,Y
24794,Y
24797,Y
24798,Y
24819,Y
24849,Y
24850,Y
24856,Y
24858,Y
24860,Y
24861,Y
24867,Y
24869,Y
24870,Y
24872,Y
24874,Y
24879,Y
24882,Y
24884,Y
24885,Y
24886,Y
24887,Y
24888,Y
24889,Y
24892,Y
24893,Y
24895,Y
24897,Y
24900,Y
24902,Y
24903,Y
24905,Y
24906,Y
24907,Y
24908,Y
24911,Y
24915,Y
24916,Y
24917,Y
24921,Y
24925,Y
24928,Y
24929,Y
24932,Y
24933,Y
24935,Y
24940,Y
24941,Y
24943,Y
24944,Y
24947,Y
24950,Y
24951,Y
24953,Y
24955,Y
24959,Y
24966,Y
24970,Y
24975,Y
25024,Y
25035,Y
25039,Y
25040,Y
25041,Y
25042,Y
25043,Y
25044,Y
25045,Y
25046,Y
25048,Y
25049,Y
25050,Y
25051,Y
25052,Y
25053,Y
25054,Y
25055,Y
25056,Y
25060,Y
25064,Y
25074,Y
25077,Y
25106,Y
25117,Y
25123,Y
25124,Y
25128,Y
25129,Y
25130,Y
25133,Y
25134,Y
25135,Y
25140,Y
25144,Y
25145,Y
25146,Y
25152,Y
25154,Y
25155,Y
25156,Y
25217,Y
25278,Y
25313,Y
25340,Y
25376,Y
25449,Y
25450,Y
25459,Y
25462,Y
25501,Y
25545,Y
25613,Y
25614,Y
25622,Y
25630,Y
25657,Y
25658,Y
25664,Y
25666,Y
25667,Y
25668,Y
25670,Y
25671,Y
25672,Y
25674,Y
25676,Y
25693,Y
25694,Y
25696,Y
25697,Y
25698,Y
25699,Y
25715,Y
25716,Y
25717,Y
25725,Y
25731,Y
25738,Y
25739,Y
25741,Y
25745,Y
25749,Y
25752,Y
25753,Y
25754,Y
25756,Y
25757,Y
25761,Y
25764,Y
25765,Y
25767,Y
25795,Y
25801,Y
25802,Y
25803,Y
25804,Y
25805,Y
25806,Y
25807,Y
25808,Y
25840,Y
25843,Y
25854,Y
25855,Y
25861,Y
25863,Y
25865,Y
25869,Y
25871,Y
25873,Y
25874,Y
25875,Y
25879,Y
25880,Y
25882,Y
25886,Y
25887,Y
25901,Y
25906,Y
25909,Y
25913,Y
25922,Y
25934,Y
25945,Y
25957,Y
25963,Y
25968,Y
25990,Y
25992,Y
25993,Y
25997,Y
26002,Y
26003,Y
26004,Y
26005,Y
26006,Y
26008,Y
26009,Y
26011,Y
26012,Y
26019,Y
26022,Y
26025,Y
26028,Y
26031,Y
26033,Y
26043,Y
26045,Y
26047,Y
26058,Y
26062,Y
26067,Y
26073,Y
26077,Y
26111,Y
26112,Y
26147,Y
26148,Y
26156,Y
26166,Y
26187,Y
26209,Y
26216,Y
26221,Y
26232,Y
26236,Y
26243,Y
26244,Y
26246,Y
26256,Y
26279,Y
26287,Y
26288,Y
26319,Y
26344,Y
26345,Y
26347,Y
26349,Y
26350,Y
26351,Y
26352,Y
26355,Y
26361,Y
26362,Y
26368,Y
26371,Y
26383,Y
26404,Y
26418,Y
26429,Y
26430,Y
26431,Y
26434,Y
26437,Y
26443,Y
26448,Y
26449,Y
26451,Y
26477,Y
26482,Y
26488,Y
26493,Y
26494,Y
26495,Y
26497,Y
26498,Y
26507,Y
26508,Y
26509,Y
26517,Y
26581,Y
26738,Y
26742,Y
26766,Y
26800,Y
26809,Y
26818,Y
26829,Y
26835,Y
26875,Y
26925,Y
26926,Y
26927,Y
26928,Y
26972,Y
26981,Y
27008,Y
27013,Y
27016,Y
27018,Y
27019,Y
27020,Y
27021,Y
27022,Y
27023,Y
27024,Y
27025,Y
27028,Y
27030,Y
27033,Y
27035,Y
27045,Y
27049,Y
27054,Y
27060,Y
27064,Y
27065,Y
27067,Y
27068,Y
27075,Y
27076,Y
27077,Y
27078,Y
27086,Y
27088,Y
27090,Y
27091,Y
27093,Y
27099,Y
27112,Y
27122,Y
27123,Y
27134,Y
27141,Y
27153,Y
27158,Y
27159,Y
27175,Y
27176,Y
27186,Y
27202,Y
27203,Y
27208,Y
27247,Y
27251,Y
27253,Y
27256,Y
27260,Y
27261,Y
27262,Y
27263,Y
27275,Y
27281,Y
27291,Y
27295,Y
27300,Y
27306,Y
27307,Y
27314,Y
27322,Y
27323,Y
27330,Y
27331,Y
27332,Y
27334,Y
27335,Y
27337,Y
27348,Y
27349,Y
27350,Y
27353,Y
27354,Y
27390,Y
27403,Y
27448,Y
27449,Y
27450,Y
27455,Y
27456,Y
27464,Y
27483,Y
27494,Y
27497,Y
27498,Y
27528,Y
27529,Y
27530,Y
27531,Y
27532,Y
27533,Y
27534,Y
27537,Y
27543,Y
27544,Y
27545,Y
27546,Y
27551,Y
27552,Y
27553,Y
27554,Y
27555,Y
27556,Y
27557,Y
27558,Y
27559,Y
27560,Y
27561,Y
27562,Y
27563,Y
27564,Y
27565,Y
27566,Y
27568,Y
27569,Y
27570,Y
27571,Y
27572,Y
27573,Y
27574,Y
27577,Y
27578,Y
27579,Y
27580,Y
27581,Y
27582,Y
27583,Y
27584,Y
27585,Y
27586,Y
27587,Y
27588,Y
27591,Y
27592,Y
27593,Y
27594,Y
27596,Y
27597,Y
27637,Y
27638,Y
27639,Y
27641,Y
27642,Y
27643,Y
27644,Y
27645,Y
27646,Y
27647,Y
27648,Y
27649,Y
27655,Y
27656,Y
27658,Y
27659,Y
27660,Y
27661,Y
27662,Y
27663,Y
27664,Y
27665,Y
27666,Y
27667,Y
27668,Y
27669,Y
27670,Y
27671,Y
27672,Y
27673,Y
27675,Y
27684,Y
27691,Y
27710,Y
27727,Y
27746,Y
